Attributes,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
Symbols,AAPL,AMZN,FB,MSFT,GOOGL,AAPL,AMZN,FB,MSFT,GOOGL,AAPL,AMZN,FB,MSFT,GOOGL,AAPL,AMZN,FB,MSFT,GOOGL,AAPL,AMZN,FB,MSFT,GOOGL,AAPL,AMZN,FB,MSFT,GOOGL
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-31,151.8300018310547,3470.7900390625,379.3800048828125,301.8800048828125,2893.949951171875,151.8300018310547,3470.7900390625,379.3800048828125,301.8800048828125,2893.949951171875,152.8000030517578,3472.580078125,382.760009765625,304.5,2903.429931640625,151.2899932861328,3395.590087890625,378.79998779296875,301.5,2885.6201171875,152.66000366210938,3424.800048828125,379.95001220703125,304.4200134277344,2902.93994140625,86453100,4356400,12345400,26285300,1122400
2021-09-01,152.50999450683594,3479.0,382.04998779296875,301.8299865722656,2904.31005859375,152.50999450683594,3479.0,382.04998779296875,301.8299865722656,2904.31005859375,154.97999572753906,3527.0,384.3299865722656,305.19000244140625,2925.080078125,152.33999633789062,3475.239990234375,378.80999755859375,301.489990234375,2897.669921875,152.8300018310547,3496.39990234375,379.5899963378906,302.8699951171875,2900.0,80313700,3629900,11567200,18983800,1096800
2021-09-02,153.64999389648438,3463.1201171875,375.2799987792969,301.1499938964844,2865.739990234375,153.64999389648438,3463.1201171875,375.2799987792969,301.1499938964844,2865.739990234375,154.72000122070312,3511.9599609375,381.75,303.3599853515625,2910.389892578125,152.39999389648438,3455.0,374.05999755859375,300.17999267578125,2863.699951171875,153.8699951171875,3494.760009765625,381.5,302.20001220703125,2904.320068359375,71115500,2923700,14832900,16285600,1617100
2021-09-03,154.3000030517578,3478.050048828125,376.260009765625,301.1400146484375,2874.7900390625,154.3000030517578,3478.050048828125,376.260009765625,301.1400146484375,2874.7900390625,154.6300048828125,3482.669921875,377.1600036621094,302.6000061035156,2883.10009765625,153.08999633789062,3436.43994140625,373.1099853515625,300.260009765625,2848.010009765625,153.75999450683594,3452.0,374.75,300.989990234375,2861.610107421875,57808700,2575700,7509600,14747900,992500
2021-09-07,156.69000244140625,3509.2900390625,382.17999267578125,300.17999267578125,2885.610107421875,156.69000244140625,3509.2900390625,382.17999267578125,300.17999267578125,2885.610107421875,157.25999450683594,3528.090087890625,382.9599914550781,301.0899963378906,2891.300048828125,154.38999938964844,3476.93994140625,373.1499938964844,298.20001220703125,2872.3798828125,154.97000122070312,3478.0,375.8800048828125,301.010009765625,2876.68994140625,82278300,2737900,10793800,17180400,1006200
2021-09-08,155.11000061035156,3525.5,377.57000732421875,300.2099914550781,2873.820068359375,155.11000061035156,3525.5,377.57000732421875,300.2099914550781,2873.820068359375,157.0399932861328,3545.6298828125,380.8699951171875,300.6099853515625,2888.0,153.97999572753906,3495.669921875,374.7900085449219,297.4700012207031,2860.0,156.97999572753906,3511.64990234375,380.1600036621094,299.7799987792969,2882.0,74420200,3053400,11067200,15046800,917200
2021-09-09,154.07000732421875,3484.159912109375,378.0,297.25,2870.820068359375,154.07000732421875,3484.159912109375,378.0,297.25,2870.820068359375,156.11000061035156,3549.989990234375,379.8299865722656,302.1400146484375,2886.2099609375,153.9499969482422,3480.3701171875,376.57000732421875,297.0,2863.550048828125,155.49000549316406,3526.02001953125,377.6400146484375,300.82000732421875,2876.81005859375,57305700,2719200,9098900,19927000,765700
2021-09-10,148.97000122070312,3469.14990234375,378.69000244140625,295.7099914550781,2817.52001953125,148.97000122070312,3469.14990234375,378.69000244140625,295.7099914550781,2817.52001953125,155.47999572753906,3508.449951171875,383.7900085449219,299.9200134277344,2894.3701171875,148.6999969482422,3462.909912109375,378.260009765625,295.3800048828125,2814.760009765625,155.0,3501.830078125,381.3599853515625,298.4200134277344,2884.25,140646400,2393300,11537600,19619400,1840700
2021-09-13,149.5500030517578,3457.169921875,376.510009765625,296.989990234375,2846.64990234375,149.5500030517578,3457.169921875,376.510009765625,296.989990234375,2846.64990234375,151.4199981689453,3497.9599609375,381.75,298.5400085449219,2859.0,148.75,3438.0,374.3500061035156,294.0799865722656,2825.0,150.6300048828125,3482.800048828125,381.67999267578125,297.54998779296875,2838.989990234375,102404300,2569000,13026300,23652900,1104700
2021-09-14,148.1199951171875,3450.0,376.5299987792969,299.7900085449219,2850.889892578125,148.1199951171875,3450.0,376.5299987792969,299.7900085449219,2850.889892578125,151.07000732421875,3486.81005859375,378.5899963378906,301.3900146484375,2867.260009765625,146.91000366210938,3437.7099609375,375.1099853515625,298.1000061035156,2835.0,150.35000610351562,3475.550048828125,377.3999938964844,299.55999755859375,2859.909912109375,109296300,1936900,8711600,21853400,983700
2021-09-15,149.02999877929688,3475.7900390625,373.9200134277344,304.82000732421875,2888.590087890625,149.02999877929688,3475.7900390625,373.9200134277344,304.82000732421875,2888.590087890625,149.44000244140625,3485.419921875,377.55999755859375,305.32000732421875,2889.010009765625,146.3699951171875,3402.010009765625,367.6700134277344,301.82000732421875,2826.949951171875,148.55999755859375,3442.52001953125,377.0,303.260009765625,2855.429931640625,83281300,2957500,17940300,28356300,1370400
2021-09-16,148.7899932861328,3488.239990234375,373.05999755859375,305.2200012207031,2872.199951171875,148.7899932861328,3488.239990234375,373.05999755859375,305.2200012207031,2872.199951171875,148.97000122070312,3492.550048828125,373.55999755859375,305.30999755859375,2886.0,147.22000122070312,3446.139892578125,369.7099914550781,300.760009765625,2848.030029296875,148.44000244140625,3459.9599609375,372.7900085449219,303.760009765625,2879.010009765625,68034100,2583600,11934200,19550800,1309500
2021-09-17,146.05999755859375,3462.52001953125,364.7200012207031,299.8699951171875,2816.0,146.05999755859375,3462.52001953125,364.7200012207031,299.8699951171875,2816.0,148.82000732421875,3497.409912109375,371.4100036621094,304.5,2869.0,145.75999450683594,3452.1298828125,361.5899963378906,299.5299987792969,2809.39990234375,148.82000732421875,3488.409912109375,371.4100036621094,304.1700134277344,2860.610107421875,129728700,4614100,26274000,41309300,2666800
2021-09-20,142.94000244140625,3355.72998046875,355.70001220703125,294.29998779296875,2774.389892578125,142.94000244140625,3355.72998046875,355.70001220703125,294.29998779296875,2774.389892578125,144.83999633789062,3419.0,361.0299987792969,298.7200012207031,2780.0,141.27000427246094,3305.010009765625,349.79998779296875,289.5199890136719,2726.43994140625,143.8000030517578,3396.0,359.29998779296875,296.3299865722656,2763.22998046875,123478900,4669100,19822800,38278700,2325900
2021-09-21,143.42999267578125,3343.6298828125,357.4800109863281,294.79998779296875,2780.659912109375,143.42999267578125,3343.6298828125,357.4800109863281,294.79998779296875,2780.659912109375,144.60000610351562,3379.699951171875,360.0400085449219,297.5400085449219,2800.22998046875,142.77999877929688,3332.389892578125,355.19000244140625,294.07000732421875,2765.56005859375,143.92999267578125,3375.0,358.5,295.69000244140625,2794.989990234375,75834000,2780900,11751900,22364100,1266600
2021-09-22,145.85000610351562,3380.050048828125,343.2099914550781,298.5799865722656,2805.669921875,145.85000610351562,3380.050048828125,343.2099914550781,298.5799865722656,2805.669921875,146.42999267578125,3389.0,349.8399963378906,300.2200012207031,2817.739990234375,143.6999969482422,3341.050048828125,340.69000244140625,294.510009765625,2771.030029296875,144.4499969482422,3351.0,347.2300109863281,296.7300109863281,2786.080078125,76269400,2406200,43568800,26614400,1252100
2021-09-23,146.65499877929688,3406.070068359375,347.2799987792969,299.7049865722656,2820.830078125,146.65499877929688,3406.070068359375,347.2799987792969,299.7049865722656,2820.830078125,147.0800018310547,3417.14990234375,349.6700134277344,300.8999938964844,2832.39990234375,145.63999938964844,3380.050048828125,343.0,297.5339050292969,2808.030029296875,146.64999389648438,3380.050048828125,345.3550109863281,298.8450012207031,2819.75,29320360,1003030,10192414,7219644,436610
